group,country,year,value,type,perc,unit
Anti-Western axis,Iran,2003-01-01,153.5,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2004-01-01,190,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2005-01-01,226.5,Gross Domestic Product,0.5,"current $, billion"
Anti-Western axis,Iran,2006-01-01,266.3,Gross Domestic Product,0.5,"current $, billion"
Anti-Western axis,Iran,2007-01-01,349.9,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2008-01-01,412.3,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2009-01-01,416.4,Gross Domestic Product,0.7,"current $, billion"
Anti-Western axis,Iran,2010-01-01,486.8,Gross Domestic Product,0.7,"current $, billion"
Anti-Western axis,Iran,2011-01-01,626.1,Gross Domestic Product,0.8,"current $, billion"
Anti-Western axis,Iran,2012-01-01,644,Gross Domestic Product,0.9,"current $, billion"
Anti-Western axis,Iran,2013-01-01,492.8,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2014-01-01,460.4,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2015-01-01,408.2,Gross Domestic Product,0.5,"current $, billion"
Anti-Western axis,Iran,2016-01-01,458,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2017-01-01,486.6,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Iran,2018-01-01,329.7,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2019-01-01,283.6,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,2020-01-01,239.7,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,2021-01-01,359.1,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2022-01-01,413.4,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2023-01-01,401.5,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Russia,1990-01-01,517,Gross Domestic Product,2.3,"current $, billion"
Anti-Western axis,Russia,1991-01-01,518,Gross Domestic Product,2.2,"current $, billion"
Anti-Western axis,Russia,1992-01-01,460.3,Gross Domestic Product,1.8,"current $, billion"
Anti-Western axis,Russia,1993-01-01,435.1,Gross Domestic Product,1.7,"current $, billion"
Anti-Western axis,Russia,1994-01-01,395.1,Gross Domestic Product,1.4,"current $, billion"
Anti-Western axis,Russia,1995-01-01,395.5,Gross Domestic Product,1.3,"current $, billion"
Anti-Western axis,Russia,1996-01-01,391.7,Gross Domestic Product,1.2,"current $, billion"
Anti-Western axis,Russia,1997-01-01,404.9,Gross Domestic Product,1.3,"current $, billion"
Anti-Western axis,Russia,1998-01-01,271,Gross Domestic Product,0.9,"current $, billion"
Anti-Western axis,Russia,1999-01-01,195.9,Gross Domestic Product,0.6,"current $, billion"
Anti-Western axis,Russia,2000-01-01,259.7,Gross Domestic Product,0.8,"current $, billion"
Anti-Western axis,Russia,2001-01-01,306.6,Gross Domestic Product,0.9,"current $, billion"
Anti-Western axis,Russia,2002-01-01,345.5,Gross Domestic Product,1,"current $, billion"
Anti-Western axis,Russia,2003-01-01,430.3,Gross Domestic Product,1.1,"current $, billion"
Anti-Western axis,Russia,2004-01-01,591,Gross Domestic Product,1.3,"current $, billion"
Anti-Western axis,Russia,2005-01-01,764,Gross Domestic Product,1.6,"current $, billion"
Anti-Western axis,Russia,2006-01-01,989.9,Gross Domestic Product,1.9,"current $, billion"
Anti-Western axis,Russia,2007-01-01,1299.7,Gross Domestic Product,2.2,"current $, billion"
Anti-Western axis,Russia,2008-01-01,1660.8,Gross Domestic Product,2.6,"current $, billion"
Anti-Western axis,Russia,2009-01-01,1222.6,Gross Domestic Product,2,"current $, billion"
Anti-Western axis,Russia,2010-01-01,1524.9,Gross Domestic Product,2.3,"current $, billion"
Anti-Western axis,Russia,2011-01-01,2045.9,Gross Domestic Product,2.8,"current $, billion"
Anti-Western axis,Russia,2012-01-01,2208.3,Gross Domestic Product,2.9,"current $, billion"
Anti-Western axis,Russia,2013-01-01,2292.5,Gross Domestic Product,2.9,"current $, billion"
Anti-Western axis,Russia,2014-01-01,2059.2,Gross Domestic Product,2.6,"current $, billion"
Anti-Western axis,Russia,2015-01-01,1363.5,Gross Domestic Product,1.8,"current $, billion"
Anti-Western axis,Russia,2016-01-01,1276.8,Gross Domestic Product,1.7,"current $, billion"
Anti-Western axis,Russia,2017-01-01,1574.2,Gross Domestic Product,1.9,"current $, billion"
Anti-Western axis,Russia,2018-01-01,1657.3,Gross Domestic Product,1.9,"current $, billion"
Anti-Western axis,Russia,2019-01-01,1693.1,Gross Domestic Product,1.9,"current $, billion"
Anti-Western axis,Russia,2020-01-01,1493.1,Gross Domestic Product,1.7,"current $, billion"
Anti-Western axis,Russia,2021-01-01,1843.4,Gross Domestic Product,1.9,"current $, billion"
Anti-Western axis,Russia,2022-01-01,2266,Gross Domestic Product,2.2,"current $, billion"
Anti-Western axis,Russia,2023-01-01,2021.4,Gross Domestic Product,1.9,"current $, billion"
Rest of world,Rest of world,1990-01-01,3877,Gross Domestic Product,17,"current $, billion"
Rest of world,Rest of world,1991-01-01,3970.4,Gross Domestic Product,16.7,"current $, billion"
Rest of world,Rest of world,1992-01-01,4232.5,Gross Domestic Product,16.6,"current $, billion"
Rest of world,Rest of world,1993-01-01,4523.9,Gross Domestic Product,17.4,"current $, billion"
Rest of world,Rest of world,1994-01-01,4959.2,Gross Domestic Product,17.8,"current $, billion"
Rest of world,Rest of world,1995-01-01,5547.8,Gross Domestic Product,17.8,"current $, billion"
Rest of world,Rest of world,1996-01-01,5991.9,Gross Domestic Product,18.8,"current $, billion"
Rest of world,Rest of world,1997-01-01,6246.7,Gross Domestic Product,19.7,"current $, billion"
Rest of world,Rest of world,1998-01-01,6085,Gross Domestic Product,19.2,"current $, billion"
Rest of world,Rest of world,1999-01-01,5880.8,Gross Domestic Product,18,"current $, billion"
Rest of world,Rest of world,2000-01-01,6360.4,Gross Domestic Product,18.8,"current $, billion"
Rest of world,Rest of world,2001-01-01,6187.7,Gross Domestic Product,18.4,"current $, billion"
Rest of world,Rest of world,2002-01-01,6208.2,Gross Domestic Product,17.8,"current $, billion"
Rest of world,Rest of world,2003-01-01,6879.4,Gross Domestic Product,17.6,"current $, billion"
Rest of world,Rest of world,2004-01-01,7994.6,Gross Domestic Product,18.1,"current $, billion"
Rest of world,Rest of world,2005-01-01,9356.3,Gross Domestic Product,19.6,"current $, billion"
Rest of world,Rest of world,2006-01-01,10782.2,Gross Domestic Product,20.8,"current $, billion"
Rest of world,Rest of world,2007-01-01,12746.5,Gross Domestic Product,21.9,"current $, billion"
Rest of world,Rest of world,2008-01-01,14647,Gross Domestic Product,22.9,"current $, billion"
Rest of world,Rest of world,2009-01-01,13787,Gross Domestic Product,22.7,"current $, billion"
Rest of world,Rest of world,2010-01-01,16655.7,Gross Domestic Product,25,"current $, billion"
Rest of world,Rest of world,2011-01-01,19027,Gross Domestic Product,25.7,"current $, billion"
Rest of world,Rest of world,2012-01-01,19690.3,Gross Domestic Product,26,"current $, billion"
Rest of world,Rest of world,2013-01-01,20428.4,Gross Domestic Product,26.3,"current $, billion"
Rest of world,Rest of world,2014-01-01,20919.1,Gross Domestic Product,26.2,"current $, billion"
Rest of world,Rest of world,2015-01-01,18930.3,Gross Domestic Product,25.1,"current $, billion"
Rest of world,Rest of world,2016-01-01,18998.2,Gross Domestic Product,24.8,"current $, billion"
Rest of world,Rest of world,2017-01-01,20591.4,Gross Domestic Product,25.2,"current $, billion"
Rest of world,Rest of world,2018-01-01,21374.3,Gross Domestic Product,24.7,"current $, billion"
Rest of world,Rest of world,2019-01-01,21714.2,Gross Domestic Product,24.7,"current $, billion"
Rest of world,Rest of world,2020-01-01,20069,Gross Domestic Product,23.5,"current $, billion"
Rest of world,Rest of world,2021-01-01,23033.9,Gross Domestic Product,23.6,"current $, billion"
Rest of world,Rest of world,2022-01-01,25284.6,Gross Domestic Product,25,"current $, billion"
Rest of world,Rest of world,2023-01-01,26377.3,Gross Domestic Product,25,"current $, billion"
G7 and partners,United States,1990-01-01,5963.1,Gross Domestic Product,26.1,"current $, billion"
G7 and partners,United States,1991-01-01,6158.1,Gross Domestic Product,25.8,"current $, billion"
G7 and partners,United States,1992-01-01,6520.3,Gross Domestic Product,25.6,"current $, billion"
G7 and partners,United States,1993-01-01,6858.6,Gross Domestic Product,26.4,"current $, billion"
G7 and partners,United States,1994-01-01,7287.2,Gross Domestic Product,26.1,"current $, billion"
G7 and partners,United States,1995-01-01,7639.7,Gross Domestic Product,24.5,"current $, billion"
G7 and partners,United States,1996-01-01,8073.1,Gross Domestic Product,25.3,"current $, billion"
G7 and partners,United States,1997-01-01,8577.6,Gross Domestic Product,27,"current $, billion"
G7 and partners,United States,1998-01-01,9062.8,Gross Domestic Product,28.6,"current $, billion"
G7 and partners,United States,1999-01-01,9631.2,Gross Domestic Product,29.4,"current $, billion"
G7 and partners,United States,2000-01-01,10251,Gross Domestic Product,30.3,"current $, billion"
G7 and partners,United States,2001-01-01,10581.9,Gross Domestic Product,31.5,"current $, billion"
G7 and partners,United States,2002-01-01,10929.1,Gross Domestic Product,31.3,"current $, billion"
G7 and partners,United States,2003-01-01,11456.5,Gross Domestic Product,29.3,"current $, billion"
G7 and partners,United States,2004-01-01,12217.2,Gross Domestic Product,27.7,"current $, billion"
G7 and partners,United States,2005-01-01,13039.2,Gross Domestic Product,27.3,"current $, billion"
G7 and partners,United States,2006-01-01,13815.6,Gross Domestic Product,26.7,"current $, billion"
G7 and partners,United States,2007-01-01,14474.2,Gross Domestic Product,24.8,"current $, billion"
G7 and partners,United States,2008-01-01,14769.9,Gross Domestic Product,23.1,"current $, billion"
G7 and partners,United States,2009-01-01,14478.1,Gross Domestic Product,23.8,"current $, billion"
G7 and partners,United States,2010-01-01,15049,Gross Domestic Product,22.6,"current $, billion"
G7 and partners,United States,2011-01-01,15599.7,Gross Domestic Product,21.1,"current $, billion"
G7 and partners,United States,2012-01-01,16254,Gross Domestic Product,21.5,"current $, billion"
G7 and partners,United States,2013-01-01,16880.7,Gross Domestic Product,21.7,"current $, billion"
G7 and partners,United States,2014-01-01,17608.1,Gross Domestic Product,22,"current $, billion"
G7 and partners,United States,2015-01-01,18295,Gross Domestic Product,24.3,"current $, billion"
G7 and partners,United States,2016-01-01,18804.9,Gross Domestic Product,24.6,"current $, billion"
G7 and partners,United States,2017-01-01,19612.1,Gross Domestic Product,24,"current $, billion"
G7 and partners,United States,2018-01-01,20656.5,Gross Domestic Product,23.8,"current $, billion"
G7 and partners,United States,2019-01-01,21521.4,Gross Domestic Product,24.5,"current $, billion"
G7 and partners,United States,2020-01-01,21323,Gross Domestic Product,24.9,"current $, billion"
G7 and partners,United States,2021-01-01,23594,Gross Domestic Product,24.2,"current $, billion"
G7 and partners,United States,2022-01-01,25744.1,Gross Domestic Product,25.4,"current $, billion"
G7 and partners,United States,2023-01-01,27360.9,Gross Domestic Product,26,"current $, billion"
G7 and partners,European Union,1990-01-01,6509.9,Gross Domestic Product,28.5,"current $, billion"
G7 and partners,European Union,1991-01-01,6733.6,Gross Domestic Product,28.3,"current $, billion"
G7 and partners,European Union,1992-01-01,7392.2,Gross Domestic Product,29,"current $, billion"
G7 and partners,European Union,1993-01-01,6751.2,Gross Domestic Product,26,"current $, billion"
G7 and partners,European Union,1994-01-01,7155.5,Gross Domestic Product,25.6,"current $, billion"
G7 and partners,European Union,1995-01-01,8296.1,Gross Domestic Product,26.6,"current $, billion"
G7 and partners,European Union,1996-01-01,8431.6,Gross Domestic Product,26.5,"current $, billion"
G7 and partners,European Union,1997-01-01,7733.8,Gross Domestic Product,24.4,"current $, billion"
G7 and partners,European Union,1998-01-01,7969.9,Gross Domestic Product,25.1,"current $, billion"
G7 and partners,European Union,1999-01-01,7925.8,Gross Domestic Product,24.2,"current $, billion"
G7 and partners,European Union,2000-01-01,7276.4,Gross Domestic Product,21.5,"current $, billion"
G7 and partners,European Union,2001-01-01,7393.6,Gross Domestic Product,22,"current $, billion"
G7 and partners,European Union,2002-01-01,8083.5,Gross Domestic Product,23.2,"current $, billion"
G7 and partners,European Union,2003-01-01,9932.1,Gross Domestic Product,25.4,"current $, billion"
G7 and partners,European Union,2004-01-01,11418.9,Gross Domestic Product,25.9,"current $, billion"
G7 and partners,European Union,2005-01-01,11910.1,Gross Domestic Product,24.9,"current $, billion"
G7 and partners,European Union,2006-01-01,12712.6,Gross Domestic Product,24.6,"current $, billion"
G7 and partners,European Union,2007-01-01,14727.5,Gross Domestic Product,25.3,"current $, billion"
G7 and partners,European Union,2008-01-01,16295.4,Gross Domestic Product,25.4,"current $, billion"
G7 and partners,European Union,2009-01-01,14762.8,Gross Domestic Product,24.3,"current $, billion"
G7 and partners,European Union,2010-01-01,14556.1,Gross Domestic Product,21.9,"current $, billion"
G7 and partners,European Union,2011-01-01,15765.2,Gross Domestic Product,21.3,"current $, billion"
G7 and partners,European Union,2012-01-01,14641.6,Gross Domestic Product,19.4,"current $, billion"
G7 and partners,European Union,2013-01-01,15294.9,Gross Domestic Product,19.7,"current $, billion"
G7 and partners,European Union,2014-01-01,15651.4,Gross Domestic Product,19.6,"current $, billion"
G7 and partners,European Union,2015-01-01,13553.9,Gross Domestic Product,18,"current $, billion"
G7 and partners,European Union,2016-01-01,13888.8,Gross Domestic Product,18.1,"current $, billion"
G7 and partners,European Union,2017-01-01,14765.9,Gross Domestic Product,18.1,"current $, billion"
G7 and partners,European Union,2018-01-01,15981.4,Gross Domestic Product,18.4,"current $, billion"
G7 and partners,European Union,2019-01-01,15694.1,Gross Domestic Product,17.8,"current $, billion"
G7 and partners,European Union,2020-01-01,15381.4,Gross Domestic Product,18,"current $, billion"
G7 and partners,European Union,2021-01-01,17315.1,Gross Domestic Product,17.8,"current $, billion"
G7 and partners,European Union,2022-01-01,16761.5,Gross Domestic Product,16.6,"current $, billion"
G7 and partners,European Union,2023-01-01,18349.4,Gross Domestic Product,17.4,"current $, billion"
G7 and partners,Japan,1990-01-01,3185.9,Gross Domestic Product,14,"current $, billion"
G7 and partners,Japan,1991-01-01,3648.1,Gross Domestic Product,15.3,"current $, billion"
G7 and partners,Japan,1992-01-01,3980.7,Gross Domestic Product,15.6,"current $, billion"
G7 and partners,Japan,1993-01-01,4536.9,Gross Domestic Product,17.5,"current $, billion"
G7 and partners,Japan,1994-01-01,4998.8,Gross Domestic Product,17.9,"current $, billion"
G7 and partners,Japan,1995-01-01,5545.6,Gross Domestic Product,17.8,"current $, billion"
G7 and partners,Japan,1996-01-01,4923.4,Gross Domestic Product,15.5,"current $, billion"
G7 and partners,Japan,1997-01-01,4492.4,Gross Domestic Product,14.1,"current $, billion"
G7 and partners,Japan,1998-01-01,4098.4,Gross Domestic Product,12.9,"current $, billion"
G7 and partners,Japan,1999-01-01,4636,Gross Domestic Product,14.2,"current $, billion"
G7 and partners,Japan,2000-01-01,4968.4,Gross Domestic Product,14.7,"current $, billion"
G7 and partners,Japan,2001-01-01,4374.7,Gross Domestic Product,13,"current $, billion"
G7 and partners,Japan,2002-01-01,4182.8,Gross Domestic Product,12,"current $, billion"
G7 and partners,Japan,2003-01-01,4519.6,Gross Domestic Product,11.5,"current $, billion"
G7 and partners,Japan,2004-01-01,4893.1,Gross Domestic Product,11.1,"current $, billion"
G7 and partners,Japan,2005-01-01,4831.5,Gross Domestic Product,10.1,"current $, billion"
G7 and partners,Japan,2006-01-01,4601.7,Gross Domestic Product,8.9,"current $, billion"
G7 and partners,Japan,2007-01-01,4579.8,Gross Domestic Product,7.9,"current $, billion"
G7 and partners,Japan,2008-01-01,5106.7,Gross Domestic Product,8,"current $, billion"
G7 and partners,Japan,2009-01-01,5289.5,Gross Domestic Product,8.7,"current $, billion"
G7 and partners,Japan,2010-01-01,5759.1,Gross Domestic Product,8.7,"current $, billion"
G7 and partners,Japan,2011-01-01,6233.1,Gross Domestic Product,8.4,"current $, billion"
G7 and partners,Japan,2012-01-01,6272.4,Gross Domestic Product,8.3,"current $, billion"
G7 and partners,Japan,2013-01-01,5212.3,Gross Domestic Product,6.7,"current $, billion"
G7 and partners,Japan,2014-01-01,4897,Gross Domestic Product,6.1,"current $, billion"
G7 and partners,Japan,2015-01-01,4444.9,Gross Domestic Product,5.9,"current $, billion"
G7 and partners,Japan,2016-01-01,5003.7,Gross Domestic Product,6.5,"current $, billion"
G7 and partners,Japan,2017-01-01,4930.8,Gross Domestic Product,6,"current $, billion"
G7 and partners,Japan,2018-01-01,5040.9,Gross Domestic Product,5.8,"current $, billion"
G7 and partners,Japan,2019-01-01,5118,Gross Domestic Product,5.8,"current $, billion"
G7 and partners,Japan,2020-01-01,5055.6,Gross Domestic Product,5.9,"current $, billion"
G7 and partners,Japan,2021-01-01,5034.6,Gross Domestic Product,5.2,"current $, billion"
G7 and partners,Japan,2022-01-01,4256.4,Gross Domestic Product,4.2,"current $, billion"
G7 and partners,Japan,2023-01-01,4212.9,Gross Domestic Product,4,"current $, billion"
G7 and partners,South Korea,1990-01-01,283.4,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,South Korea,1991-01-01,330.6,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,South Korea,1992-01-01,355.5,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,South Korea,1993-01-01,392.7,Gross Domestic Product,1.5,"current $, billion"
G7 and partners,South Korea,1994-01-01,463.6,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,1995-01-01,566.6,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,1996-01-01,610.2,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,1997-01-01,569.8,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,1998-01-01,383.3,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,South Korea,1999-01-01,497.5,Gross Domestic Product,1.5,"current $, billion"
G7 and partners,South Korea,2000-01-01,576.2,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,2001-01-01,547.7,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,South Korea,2002-01-01,627.2,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,2003-01-01,702.7,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,2004-01-01,793.2,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,2005-01-01,934.9,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2006-01-01,1053.2,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2007-01-01,1172.6,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2008-01-01,1047.3,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,South Korea,2009-01-01,943.9,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,South Korea,2010-01-01,1143.7,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,2011-01-01,1253.3,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,2012-01-01,1278,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,2013-01-01,1370.6,Gross Domestic Product,1.8,"current $, billion"
G7 and partners,South Korea,2014-01-01,1484.5,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,2015-01-01,1466,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,2016-01-01,1499.7,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2017-01-01,1623.1,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2018-01-01,1725.4,Gross Domestic Product,2,"current $, billion"
G7 and partners,South Korea,2019-01-01,1651.4,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,2020-01-01,1644.3,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,2021-01-01,1818.4,Gross Domestic Product,1.9,"current $, billion"
G7 and partners,South Korea,2022-01-01,1673.9,Gross Domestic Product,1.7,"current $, billion"
G7 and partners,South Korea,2023-01-01,1712.8,Gross Domestic Product,1.6,"current $, billion"
G7 and partners,United Kingdom,1990-01-01,1093.2,Gross Domestic Product,4.8,"current $, billion"
G7 and partners,United Kingdom,1991-01-01,1142.8,Gross Domestic Product,4.8,"current $, billion"
G7 and partners,United Kingdom,1992-01-01,1179.7,Gross Domestic Product,4.6,"current $, billion"
G7 and partners,United Kingdom,1993-01-01,1061.4,Gross Domestic Product,4.1,"current $, billion"
G7 and partners,United Kingdom,1994-01-01,1140.5,Gross Domestic Product,4.1,"current $, billion"
G7 and partners,United Kingdom,1995-01-01,1344.2,Gross Domestic Product,4.3,"current $, billion"
G7 and partners,United Kingdom,1996-01-01,1419.6,Gross Domestic Product,4.5,"current $, billion"
G7 and partners,United Kingdom,1997-01-01,1560.9,Gross Domestic Product,4.9,"current $, billion"
G7 and partners,United Kingdom,1998-01-01,1653.7,Gross Domestic Product,5.2,"current $, billion"
G7 and partners,United Kingdom,1999-01-01,1687.8,Gross Domestic Product,5.2,"current $, billion"
G7 and partners,United Kingdom,2000-01-01,1665.5,Gross Domestic Product,4.9,"current $, billion"
G7 and partners,United Kingdom,2001-01-01,1649.8,Gross Domestic Product,4.9,"current $, billion"
G7 and partners,United Kingdom,2002-01-01,1785.7,Gross Domestic Product,5.1,"current $, billion"
G7 and partners,United Kingdom,2003-01-01,2054.4,Gross Domestic Product,5.2,"current $, billion"
G7 and partners,United Kingdom,2004-01-01,2421.5,Gross Domestic Product,5.5,"current $, billion"
G7 and partners,United Kingdom,2005-01-01,2543.2,Gross Domestic Product,5.3,"current $, billion"
G7 and partners,United Kingdom,2006-01-01,2708.4,Gross Domestic Product,5.2,"current $, billion"
G7 and partners,United Kingdom,2007-01-01,3090.5,Gross Domestic Product,5.3,"current $, billion"
G7 and partners,United Kingdom,2008-01-01,2929.4,Gross Domestic Product,4.6,"current $, billion"
G7 and partners,United Kingdom,2009-01-01,2412.8,Gross Domestic Product,4,"current $, billion"
G7 and partners,United Kingdom,2010-01-01,2485.5,Gross Domestic Product,3.7,"current $, billion"
G7 and partners,United Kingdom,2011-01-01,2663.8,Gross Domestic Product,3.6,"current $, billion"
G7 and partners,United Kingdom,2012-01-01,2707.1,Gross Domestic Product,3.6,"current $, billion"
G7 and partners,United Kingdom,2013-01-01,2784.9,Gross Domestic Product,3.6,"current $, billion"
G7 and partners,United Kingdom,2014-01-01,3064.7,Gross Domestic Product,3.8,"current $, billion"
G7 and partners,United Kingdom,2015-01-01,2927.9,Gross Domestic Product,3.9,"current $, billion"
G7 and partners,United Kingdom,2016-01-01,2689.1,Gross Domestic Product,3.5,"current $, billion"
G7 and partners,United Kingdom,2017-01-01,2680.1,Gross Domestic Product,3.3,"current $, billion"
G7 and partners,United Kingdom,2018-01-01,2871.3,Gross Domestic Product,3.3,"current $, billion"
G7 and partners,United Kingdom,2019-01-01,2851.4,Gross Domestic Product,3.2,"current $, billion"
G7 and partners,United Kingdom,2020-01-01,2697.8,Gross Domestic Product,3.2,"current $, billion"
G7 and partners,United Kingdom,2021-01-01,3141.5,Gross Domestic Product,3.2,"current $, billion"
G7 and partners,United Kingdom,2022-01-01,3088.8,Gross Domestic Product,3.1,"current $, billion"
G7 and partners,United Kingdom,2023-01-01,3340,Gross Domestic Product,3.2,"current $, billion"
G7 and partners,Australia,1990-01-01,311.4,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,Australia,1991-01-01,326,Gross Domestic Product,1.4,"current $, billion"
G7 and partners,Australia,1992-01-01,325.5,Gross Domestic Product,1.3,"current $, billion"
G7 and partners,Australia,1993-01-01,312.1,Gross Domestic Product,1.2,"current $, billion"
G7 and partners,Australia,1994-01-01,322.8,Gross Domestic Product,1.2,"current $, billion"
